district_name,district_geoid,median_household_income,median_family_income,labor_force_pct,unemployment_pct,uninsured_pct,snap_pct,owner_occ_pct,renter_occ_pct,median_home_value
"Estill County School District, KY",2101760,39980,54479,NA,8.7,4.9,29.6,73.9,26.1,100600
"Fairview Independent School District, KY",2101800,57309,76858,NA,3.4,3.2,13.2,62.5,37.5,93800
"Fayette County School District, KY",2101860,66087,91263,NA,5,6.9,8.4,54.3,45.7,247900
"Fleming County School District, KY",2101920,46885,59724,NA,8.4,8.6,19.6,74.5,25.5,109300
"Floyd County School District, KY",2101950,38723,53494,NA,6.8,4.8,24.8,71.3,28.7,89900
"Fort Campbell Dependent Schools, KY",2100078,52677,53513,NA,16.8,1.5,7.4,0.8,99.2,NA
"Fort Knox Dependent Schools, KY",2100079,69067,75864,NA,8.7,7.4,4.5,10.2,89.8,68000
"Fort Thomas Independent School District, KY",2102040,99933,127350,NA,3.8,3.7,1,74.3,25.7,277700
"Frankfort Independent School District, KY",2101980,46660,51127,NA,7,6.9,16.2,45.3,54.7,145800
"Franklin County School District, KY",2102010,66963,83333,NA,4.5,6.9,11.9,65.4,34.6,187600
"Fulton County School District, KY",2102100,39596,51142,NA,7.9,6.2,15.9,69.9,30.1,92600
"Fulton Independent School District, KY",2102070,33121,31522,NA,2.7,5.5,36.6,56.1,43.9,44500
"Gallatin County School District, KY",2102130,58641,64229,NA,3.7,9.5,12.4,70.5,29.5,154600
"Garrard County School District, KY",2102160,58263,68351,NA,5.3,7.3,13.3,80.9,19.1,170800
"Glasgow Independent School District, KY",2102220,41890,52649,NA,5.2,10.1,18.9,47,53,139300
"Grant County School District, KY",2102250,65787,73729,NA,5,5,14.7,73.3,26.7,179000
"Graves County School District, KY",2102280,56257,69811,NA,3.2,6.9,11.3,81,19,143400
"Grayson County School District, KY",2102300,47024,58638,NA,4.8,6.3,12.2,76.9,23.1,141500
"Green County School District, KY",2102340,38595,57117,NA,9.5,8.3,18.7,74.4,25.6,97100
"Greenup County School District, KY",2102400,53602,70539,NA,7.6,5.1,13.1,81.3,18.7,127300
"Hancock County School District, KY",2102460,68102,80129,NA,4.4,5.2,14.1,79.3,20.7,116800
"Hardin County School District, KY",2102490,65571,80306,NA,6.9,4.9,8.9,66.3,33.7,189300
"Harlan County School District, KY",2102540,36321,46576,NA,10.7,4.9,25.6,72.3,27.7,68900
"Harlan Independent School District, KY",2102520,24625,31250,NA,11.3,5,47,37.7,62.3,133900
"Harrison County School District, KY",2102580,58840,73048,NA,2.8,4.5,16.6,70.6,29.4,170600
"Hart County School District, KY",2102640,45659,60864,NA,3,10,15.1,76,24,121300
"Hazard Independent School District, KY",2102670,48616,56250,NA,12,4,32.7,54.8,45.2,120000
"Henderson County School District, KY",2102710,56912,71953,NA,3.8,4.2,14.7,64.2,35.8,156200
"Henry County School District, KY",2102760,60685,72987,NA,3.5,9.8,8.4,77.2,22.8,162400
"Hickman County School District, KY",2102790,68589,79940,NA,4.1,4.7,10.4,76.8,23.2,112700
"Hopkins County School District, KY",2102860,55555,65866,NA,7.6,4.7,12.3,70.7,29.3,127900
"Jackson County School District, KY",2102940,38516,52113,NA,6,4,25.3,79.1,20.9,101900
"Jackson Independent School District, KY",2102910,33167,43889,NA,7.5,7.6,27.7,54.2,45.8,76000
"Jefferson County School District, KY",2102990,66184,85991,NA,5.1,5.4,10,61.7,38.3,221500
"Jefferson County School District in Anchorage ISD, KY",2121004,194135,236250,NA,5.8,2.5,0.7,93.1,6.9,731400
"Jenkins Independent School District, KY",2103000,30845,34821,NA,12,3.6,39.8,66.2,33.8,58200
"Jessamine County School District, KY",2103030,69905,84844,NA,4.5,6.5,10.3,68.8,31.2,226900
"Johnson County School District, KY",2103060,45474,56976,NA,4.6,4.5,22.5,73.6,26.4,132600
"Kenton County School District, KY",2103090,89327,105236,NA,3.6,3.5,4.2,78.1,21.9,229900
"Knott County School District, KY",2103120,38336,45572,NA,10.6,3,28.9,72.6,27.4,66600
"Knox County School District, KY",2103150,34258,45013,NA,7,6.5,31.9,68.9,31.1,98500
"Larue County School District, KY",2103180,57867,70302,NA,2.8,3.7,16.3,74.8,25.2,164000
"Laurel County School District, KY",2103210,54508,63075,NA,3.6,8.3,17,71.1,28.9,142700
"Laurel County School District for East Bernstadt ISD, KY",2121001,40268,41250,NA,7.3,5.4,23.5,77.9,22.1,66400
"Lawrence County School District, KY",2103240,42488,56326,NA,5.2,6.8,25.2,74.4,25.6,100300
"Lee County School District, KY",2103270,31682,39402,NA,8.1,3.1,31.5,69.6,30.4,77400
"Leslie County School District, KY",2103330,37019,50819,NA,10,1.7,25.5,86.8,13.2,77900
"Letcher County School District, KY",2103360,39075,53165,NA,7,3.8,27.1,75.2,24.8,69500
"Lewis County School District, KY",2103390,36662,49375,NA,7.3,5.8,22.8,79.1,20.9,83400
"Lincoln County School District, KY",2103480,49487,58639,NA,6.6,6.3,16.4,78.6,21.4,130100
"Livingston County School District, KY",2103510,56125,67561,NA,6.1,4.8,12.9,81.9,18.1,108100
"Logan County School District, KY",2103540,63304,73051,NA,4.1,10.4,6.8,82.7,17.3,143000
"Ludlow Independent School District, KY",2103630,58407,72364,NA,7.5,5,8.5,78.4,21.6,153200
"Lyon County School District, KY",2103690,64081,80052,NA,3.6,6.5,12.3,81.9,18.1,164100
"Madison County School District, KY",2103720,61422,80065,NA,5.6,5.4,10.7,62.2,37.8,204100
"Magoffin County School District, KY",2103750,31927,40097,NA,12.8,4,32.6,75.2,24.8,83400
"Marion County School District, KY",2103780,49627,67226,NA,6,2.8,19.8,73.8,26.2,141000
"Marshall County School District, KY",2103810,64597,77448,NA,3,7.1,8,82.5,17.5,160600
"Martin County School District, KY",2103840,45265,51370,NA,6.4,2.3,22.8,78.9,21.1,91800
"Mason County School District, KY",2103870,48460,64817,NA,4.7,6.1,19.1,68.6,31.4,156600
"Mayfield Independent School District, KY",2103900,42855,57284,NA,5.2,7,20.7,59.2,40.8,113300
"McCracken County School District, KY",2103960,67043,81517,NA,3,4.7,7.6,72.7,27.3,184100
"McCreary County School District, KY",2103990,35000,41797,NA,5.6,5.1,32.1,70,30,85300
"McLean County School District, KY",2104020,64020,85669,NA,6.7,3.5,8.9,80.4,19.6,139400
"Meade County School District, KY",2104050,70458,88108,NA,4,3.2,11.2,81.1,18.9,190300
"Menifee County School District, KY",2104080,43797,56176,NA,4.7,5.5,20.2,74,26,104600
"Mercer County School District, KY",2104110,60512,78941,NA,4.5,5.7,10.8,72.3,27.7,180000
"Metcalfe County School District, KY",2104140,46932,56463,NA,4.8,7.8,16.5,77.8,22.2,95100
"Middlesboro Independent School District, KY",2104170,34128,45813,NA,8.7,5.1,26.5,55.7,44.3,87000
"Monroe County School District, KY",2104200,47252,59831,NA,5.4,5.7,17.8,71,29,113900
"Montgomery County School District, KY",2104250,53436,67925,NA,6,7,19.3,66.1,33.9,142300
"Morgan County School District, KY",2104290,46018,58773,NA,3.1,8,20.2,78.6,21.4,90800
"Muhlenberg County School District, KY",2100081,50935,69150,NA,4.9,5.1,12.8,82.4,17.6,115900
"Murray Independent School District, KY",2104380,45976,65349,NA,3.6,6.3,13.5,53.4,46.6,167200
"Nelson County School District, KY",2104410,74917,85870,NA,2.2,4,6.4,84.8,15.2,214700
"Newport Independent School District, KY",2104440,51944,103491,NA,6.1,5.7,16.1,50,50,203900
"Nicholas County School District, KY",2104470,57539,65722,NA,5.6,6.4,12.3,71.4,28.6,111300
