district_key,total_rev_2122,total_exp_2122,cap_outlay_2122,debt_out_end_2122,debt_out_start_2122,debt_issued_2122,debt_retired_2122,debt_service_funds_2122,bond_funds_2122,other_funds_2122,GeoId,debt_district_only,debt_expanded
HITCHCOCK CO SCH SYSTEM | NEBRASKA,5483000,5211000,367000,4593000,5028000,0,435000,689000,400000,3187000,3100120,4593000,8869000
HITCHCOCK ISD | TEXAS,29690000,30022000,607000,64995000,25355000,41365000,1725000,1221000,43437000,3007000,4823310,64995000,112660000
HITCHCOCK SCHOOL DISTRICT 02-1 | SOUTH DAKOTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4646260,NA,0
HITCHCOCK TULARE SCHOOL DISTRICT 56-6 | SOUTH DAKOTA,4371000,3627000,230000,2900000,3392000,0,492000,0,0,2744000,4600046,2900000,5644000
HMONG COLLEGE PREP ACADEMY | MINNESOTA,38815000,37974000,9789000,0,215000,0,215000,0,0,18303000,2700342,0,18303000
HO-HO-KUS SCHOOL DISTRICT | NEW JERSEY,20422000,19338000,37000,0,0,0,0,16000,0,3566000,3407320,0,3582000
HOBART | OKLAHOMA,9174000,8122000,899000,0,0,0,745000,0,0,0,4014700,0,0
HOBBS | NEW MEXICO,166079000,155258000,41032000,59505000,56770000,20515000,17780000,6592000,5825000,18988000,3501260,59505000,90910000
HOBBS ISD | TEXAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4823490,NA,0
HOBGOOD CHARTER SCHOOL | NORTH CAROLINA,4190000,4011000,347000,0,0,0,0,0,0,994000,3700445,0,994000
HOBOKEN CHARTER SCHOOL DISTRICT | NEW JERSEY,7093000,6318000,0,0,0,0,0,0,0,2681000,3400032,0,2681000
HOBOKEN DUAL LANGUAGE CHARTER SCHOOL | NEW JERSEY,7511000,7167000,0,0,0,0,0,0,0,1632000,3400734,0,1632000
HOBOKEN PUBLIC SCHOOL DISTRICT | NEW JERSEY,100505000,100160000,990000,0,0,0,0,0,0,9261000,3407350,0,9261000
HOBSON K-12 SCHOOLS | MONTANA,2419000,2356000,199000,93000,93000,0,0,2000,71000,614000,3014430,93000,780000
HOCKINSON SCHOOL DISTRICT | WASHINGTON,32523000,29649000,459000,26055000,28070000,0,2015000,1651000,2870000,4734000,5303570,26055000,35310000
HODGEMAN COUNTY | KANSAS,4975000,4593000,312000,2580000,2855000,0,275000,1094000,0,1856000,2007800,2580000,5530000
HODGEN | OKLAHOMA,2951000,2621000,238000,0,0,0,38000,0,0,0,4014730,0,0
HOEHNE REORGANIZED SCHOOL DISTRICT NO. 3 | COLORADO,5127000,4432000,543000,3020000,3140000,0,120000,228000,178000,5033000,0804650,3020000,8459000
HOGAN PREPARATORY ACADEMY | MISSOURI,17839000,14156000,1159000,0,0,0,0,0,0,9600000,2900014,0,9600000
HOISINGTON | KANSAS,12345000,11603000,1073000,14870000,15490000,0,620000,1191000,0,3099000,2007320,14870000,19160000
HOKE COUNTY SCHOOLS | NORTH CAROLINA,110860000,106743000,3212000,18525000,19390000,0,865000,0,0,9659000,3702250,18525000,28184000
HOLBROOK | MASSACHUSETTS,25122000,30530000,171000,31485000,33150000,0,1665000,0,0,0,2506150,31485000,31485000
HOLBROOK PUBLIC SCHOOLS | NEBRASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3175000,NA,0
HOLBROOK UNIFIED DISTRICT (4389) | ARIZONA,29496000,28747000,4557000,895000,1170000,0,275000,0,0,0,0403820,895000,895000
HOLCOMB | KANSAS,13027000,13236000,696000,3510000,3740000,0,230000,897000,0,4619000,2007350,3510000,9026000
HOLCOMB R-III | MISSOURI,6271000,7339000,1955000,1880000,2030000,0,150000,116000,0,1914000,2914460,1880000,3910000
HOLDEN R-III | MISSOURI,16387000,14315000,791000,16275000,9125000,8000000,850000,1071000,0,13531000,2914490,16275000,30877000
HOLDENVILLE | OKLAHOMA,15005000,13334000,745000,0,0,0,440000,62000,105000,4079000,4014790,0,4246000
HOLDERNESS SCHOOL DISTRICT | NEW HAMPSHIRE,5024000,4737000,149000,0,0,0,12000,0,0,1161000,3303810,0,1161000
HOLDINGFORD PUBLIC SCHOOL DISTRICT | MINNESOTA,15421000,16548000,2516000,16907000,14293000,3424000,810000,698000,0,8541000,2714190,16907000,26146000
HOLDREGE PUBLIC SCHOOLS | NEBRASKA,16365000,16634000,937000,8730000,9360000,8830000,9460000,2130000,1825000,10264000,3171940,8730000,22949000
HOLGATE LOCAL | OHIO,8135000,7741000,364000,2391000,2771000,0,380000,580000,305000,6440000,3904757,2391000,9716000
HOLLAND | MASSACHUSETTS,2236000,4475000,0,0,0,0,0,0,0,0,2506210,0,0
HOLLAND CENTRAL SCHOOL DISTRICT | NEW YORK,23929000,22510000,1486000,11086000,12650000,256000,1523000,0,128000,3574000,3614550,11086000,14788000
HOLLAND CITY SCHOOL DISTRICT | MICHIGAN,59059000,54409000,3299000,71608000,77740000,0,5730000,2379000,31338000,5630000,2618420,71608000,110955000
HOLLAND ISD | TEXAS,10998000,10524000,721000,7425000,7820000,0,395000,0,0,3319000,4823370,7425000,10744000
HOLLAND PATENT CENTRAL SCHOOL DISTRICT | NEW YORK,37710000,48565000,5398000,16005000,20449000,0,1804000,1393000,1118000,16973000,3614580,16005000,35489000
HOLLAND SCHOOL DISTRICT | VERMONT,605000,639000,9000,42000,150000,0,107000,0,0,0,5004710,42000,42000
HOLLAND TOWNSHIP SCHOOL DISTRICT | NEW JERSEY,14788000,14132000,184000,0,0,0,0,0,0,5125000,3407380,0,5125000
HOLLANDALE SCHOOL DIST | MISSISSIPPI,10030000,10786000,477000,1487000,1575000,0,88000,940000,16000,3621000,2801890,1487000,6064000
HOLLEY CENTRAL SCHOOL DISTRICT | NEW YORK,27976000,25748000,802000,15705000,17573000,0,1868000,0,12000,8936000,3614610,15705000,24653000
HOLLIDAY C-2 | MISSOURI,1107000,1022000,85000,0,0,0,0,0,0,863000,2914520,0,863000
HOLLIDAY ISD | TEXAS,15558000,13407000,1721000,14760000,15425000,0,665000,1609000,0,1625000,4823400,14760000,17994000
HOLLIDAYSBURG AREA SD | PENNSYLVANIA,55572000,51666000,854000,24445000,27365000,0,2920000,0,843000,14982000,4211940,24445000,40270000
HOLLIS | OKLAHOMA,6192000,6266000,464000,0,0,0,0,0,0,0,4014850,0,0
HOLLIS CONS SD 328 | ILLINOIS,3868000,2672000,334000,765000,820000,0,55000,44000,1097000,3575000,1719420,765000,5481000
HOLLIS SCHOOL DISTRICT | NEW HAMPSHIRE,14286000,13176000,133000,3983000,4569000,0,586000,0,0,2116000,3303840,3983000,6099000
HOLLIS-BROOKLINE COOPERATIVE SCHOOL DISTRICT | NEW HAMPSHIRE,24666000,23800000,786000,2703000,3386000,0,683000,0,0,3281000,3303850,2703000,5984000
HOLLISTER | CALIFORNIA,102618000,86927000,852000,63359000,64269000,0,910000,2146000,3462000,37582000,0617340,63359000,106549000
HOLLISTER PREP DISTRICT | CALIFORNIA,6584000,6212000,0,0,0,0,0,0,0,0,0602320,0,0
HOLLISTER R-V | MISSOURI,23470000,25745000,6672000,21401000,22431000,0,1030000,4506000,0,6854000,2914550,21401000,32761000
HOLLISTON | MASSACHUSETTS,52954000,53054000,336000,230000,1850000,0,1620000,0,0,0,2506240,230000,230000
HOLLOW ROCK - BRUCETON | TENNESSEE,7806000,7027000,554000,1042000,1042000,0,339000,86000,0,5026000,4701890,1042000,6154000
HOLLY ACADEMY | MICHIGAN,7735000,7642000,265000,5932000,5105000,5932000,5190000,225000,0,1577000,2600216,5932000,7734000
HOLLY AREA SCHOOL DISTRICT | MICHIGAN,56735000,59391000,13435000,110570000,56878000,70195000,6469000,1992000,78154000,7861000,2618450,110570000,198577000
HOLLY CREEK | OKLAHOMA,2890000,2798000,90000,0,0,0,0,70000,27000,529000,4014890,0,626000
HOLLY DRIVE LEADERSHIP ACADEMY DISTRICT | CALIFORNIA,1702000,1676000,31000,0,0,0,0,0,0,0,0602302,0,0
HOLLY GROVE SCHOOL DISTRICT | ARKANSAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0505680,NA,0
HOLLY SCHOOL DISTRICT NO. RE-3 | COLORADO,7220000,7083000,3119000,1873000,2043000,0,170000,709000,0,5773000,0804680,1873000,8355000
HOLLY SPRINGS SCHOOL DIST | MISSISSIPPI,16070000,16051000,1415000,8579000,9438000,0,859000,1494000,255000,3582000,2801950,8579000,13910000
HOLMDEL TOWNSHIP SCHOOL DISTRICT | NEW JERSEY,84041000,83727000,2402000,0,0,0,0,404000,861000,11598000,3407410,0,12863000
HOLMEN SCHOOL DISTRICT | WISCONSIN,67597000,61169000,884000,20976000,25560000,0,4584000,3198000,0,21448000,5506540,20976000,45622000
HOLMES | FLORIDA,35566000,36398000,968000,0,239000,0,239000,1547000,0,1758000,1200900,0,3305000
HOLMES CO SCHOOL DIST | MISSISSIPPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2802730,NA,0
HOLMES COUNTY CONSOLIDATED SD | MISSISSIPPI,43666000,41600000,8258000,3339000,3436000,0,97000,3043000,0,23719000,2800195,3339000,30101000
HOLSTEIN PUBLIC SCHOOL | NEBRASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3174850,NA,0
HOLT PUBLIC SCHOOLS | MICHIGAN,80545000,79401000,6450000,0,34742000,28906000,5085000,1559000,24816000,9795000,2618480,0,36170000
HOLT UNION ELEMENTARY | CALIFORNIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0637290,NA,0
HOLTON | KANSAS,22405000,21892000,1779000,18815000,18280000,0,0,2414000,21000,4500000,2007380,18815000,25750000
HOLTON PUBLIC SCHOOLS | MICHIGAN,13612000,13281000,787000,16409000,17300000,110000,920000,1464000,340000,2173000,2618510,16409000,20386000
HOLTON SPECIAL EDUCATION COOP. | KANSAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000368,NA,0
HOLTVILLE UNIFIED | CALIFORNIA,29503000,28615000,2364000,20090000,20417000,3043000,3370000,1514000,4621000,11569000,0617430,20090000,37794000
HOLY HILL AREA SCHOOL DISTRICT | WISCONSIN,9129000,8521000,574000,555000,685000,0,130000,1000,0,5833000,5500080,555000,6389000
HOLYOKE | MASSACHUSETTS,134270000,145543000,291000,0,0,0,2720000,0,0,0,2506270,0,0
HOLYOKE COMMUNITY CHARTER (DISTRICT) | MASSACHUSETTS,14999000,13100000,15000,0,0,0,0,0,0,0,2500087,0,0
HOLYOKE SCHOOL DISTRICT NO. RE-1J | COLORADO,10873000,11348000,3274000,2065000,2405000,0,340000,392000,172000,4825000,0804710,2065000,7454000
HOMEDALE JOINT DISTRICT | IDAHO,13863000,11688000,1375000,11975000,0,14150000,0,582000,14196000,4528000,1601470,11975000,31281000
HOMER CCSD 33C | ILLINOIS,76661000,68855000,4730000,7116000,8007000,0,825000,45000,1204000,45652000,1719500,7116000,54017000
HOMER CENTRAL SCHOOL DISTRICT | NEW YORK,52357000,49630000,4678000,18880000,17945000,3905000,2970000,2492000,272000,10310000,3614640,18880000,31954000
HOMER COMMUNITY SCHOOL DISTRICT | MICHIGAN,15190000,13796000,691000,13639000,15208000,374000,1616000,307000,494000,2278000,2618540,13639000,16718000
HOMER COMMUNITY SCHOOLS | NEBRASKA,7414000,7532000,655000,0,0,0,0,0,3428000,3739000,3172000,0,7167000
HOMER PLESSY COMMUNITY SCHOOL | LOUISIANA,11757000,10027000,78000,0,0,0,0,0,0,1085000,2200328,0,1085000
HOMER-CENTER SD | PENNSYLVANIA,18298000,17948000,238000,9519000,10254000,0,735000,0,318000,4714000,4213290,9519000,14551000
HOMETECH CHARTER DISTRICT | CALIFORNIA,1076000,1225000,0,0,0,0,0,0,0,0,0602339,0,0
HOMEWOOD CITY | ALABAMA,71527000,65155000,3132000,21175000,23215000,0,2040000,703000,7492000,31070000,0101760,21175000,60440000
HOMEWOOD FLOSSMOOR CHSD 233 | ILLINOIS,75648000,69864000,2661000,32165000,17405000,32165000,2750000,0,179000,76682000,1719560,32165000,109026000
HOMEWOOD SD 153 | ILLINOIS,37032000,35064000,725000,18045000,12180000,15705000,9839000,1019000,7592000,9323000,1719530,18045000,35979000
HOMINY | OKLAHOMA,7002000,6491000,349000,0,0,336000,445000,420000,358000,0,4014970,0,778000
HONDO ISD | TEXAS,22146000,21841000,354000,32450000,33600000,0,1150000,2048000,0,12043000,4823430,32450000,46541000
HONDO VALLEY | NEW MEXICO,4043000,4263000,209000,1669000,1840000,0,171000,260000,586000,424000,3501290,1669000,2939000
HONEOYE CENTRAL SCHOOL DISTRICT | NEW YORK,20098000,17079000,449000,2430000,2650000,0,220000,863000,213000,10149000,3614670,2430000,13655000
HONEOYE FALLS-LIMA CENTRAL SCHOOL DISTRICT | NEW YORK,59472000,66064000,9651000,32855000,60215000,0,3640000,739000,689000,18508000,3614700,32855000,52791000
HONEY CREEK COMMUNITY SCHOOL | MICHIGAN,3285000,3128000,21000,0,0,0,0,0,0,711000,2600121,0,711000
HONEY GROVE ISD | TEXAS,11349000,8983000,661000,7185000,7515000,0,330000,0,0,8045000,4823460,7185000,15230000
HONONEGAH CHD 207 | ILLINOIS,40700000,37942000,2531000,19038000,20190000,295000,1447000,352000,0,16009000,1719620,19038000,35399000
HONOR ACADEMY(CHARTER) | OKLAHOMA,10437000,10056000,941000,0,0,0,0,0,0,0,4000792,0,0
HONORS ACADEMY | TEXAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800171,NA,0
HOOD CANAL SCHOOL DISTRICT | WASHINGTON,10116000,10100000,2628000,0,780000,0,780000,4000,1990000,1335000,5303600,0,3329000
HOOD RIVER COUNTY SD | OREGON,74910000,71745000,1091000,70785000,75085000,0,4300000,222000,3944000,14121000,4106510,70785000,89072000
HOOKER | OKLAHOMA,7352000,6948000,139000,0,0,0,0,37000,0,2358000,4015090,0,2395000
HOOKS ISD | TEXAS,14561000,13548000,1549000,16945000,5015000,12425000,495000,1177000,12573000,6489000,4823490,16945000,37184000
HOOKSETT SCHOOL DISTRICT | NEW HAMPSHIRE,35063000,42585000,170000,1030000,2060000,0,1030000,0,0,1379000,3303870,1030000,2409000
HOONAH CITY SCHOOL DISTRICT | ALASKA,4158000,4098000,0,0,0,0,0,0,0,0,0200300,0,0
HOOPESTON AREA CUSD 11 | ILLINOIS,23331000,21086000,1425000,0,360000,0,360000,18000,0,14124000,1719660,0,14142000
HOOSAC VALLEY REGIONAL | MASSACHUSETTS,26580000,24661000,107000,8070000,8710000,0,640000,0,0,5340000,2501780,8070000,13410000
HOOSIC VALLEY CENTRAL SCHOOL DISTRICT | NEW YORK,23844000,21910000,596000,4260000,5845000,0,1585000,0,413000,9796000,3614730,4260000,14469000
HOOSICK FALLS CENTRAL SCHOOL DISTRICT | NEW YORK,28264000,33450000,8166000,1492000,2093000,312000,913000,115000,1546000,10197000,3614760,1492000,13350000
HOOSIER COLLEGE AND CAREER ACADEMY | INDIANA,4697000,4381000,0,0,0,0,0,0,0,96000,1800179,0,96000
HOOVER CITY | ALABAMA,219069000,208943000,13064000,143395000,151315000,0,7920000,0,1717000,130406000,0100007,143395000,275518000
HOOVER-SCHRUM MEMORIAL SD 157 | ILLINOIS,16602000,16726000,681000,15175000,16174000,0,999000,365000,49000,4787000,1719680,15175000,20376000
HOPATCONG BOROUGH SCHOOL DISTRICT | NEW JERSEY,43819000,44645000,653000,0,0,0,0,0,0,8243000,3407440,0,8243000
HOPE 10 | NORTH DAKOTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3814500,NA,0
HOPE ACADEMY | MICHIGAN,5783000,5776000,173000,7935000,8220000,0,0,364000,70000,411000,2600229,7935000,8780000
HOPE ACADEMY | INDIANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600229,NA,0
HOPE ACADEMY | MISSOURI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600229,NA,0
HOPE ACADEMY CHARTER SCHOOL | NEW JERSEY,6835000,6116000,346000,0,0,0,0,0,0,3505000,3400076,0,3505000
HOPE ACADEMY NORTHCOAST | OHIO,4567000,4420000,83000,0,0,0,0,0,0,424000,3900181,0,424000
HOPE ACADEMY OF NORTHWEST ARKANSAS | ARKANSAS,1134000,1137000,3000,0,0,0,0,0,33000,31000,0500426,0,64000
HOPE ACADEMY OF WEST MICHIGAN | MICHIGAN,5225000,5557000,681000,0,0,0,119000,0,0,948000,2600988,0,948000
HOPE CHARTER LEADERSHIP ACADEMY | NORTH CAROLINA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3700343,NA,0
HOPE COMMUNITY ACADEMY | MINNESOTA,10925000,12045000,1550000,0,4000,0,4000,0,0,1277000,2700230,0,1277000
HOPE COMMUNITY CHARTER SCHOOL | NEW JERSEY,3497000,4739000,1574000,0,0,0,0,0,0,722000,3400763,0,722000
HOPE COMMUNITY PCS | DISTRICT OF COLUMBIA,7671000,8466000,3000,0,0,0,0,0,0,4348000,1100051,0,4348000
HOPE CS | PENNSYLVANIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4216890,NA,0
HOPE ELEMENTARY | CALIFORNIA,3366000,3446000,284000,0,0,0,0,0,0,2321000,0617520,0,2321000
HOPE ELEMENTARY | CALIFORNIA,17706000,19296000,4123000,48931000,23445000,25486000,0,6067000,33361000,8099000,0617520,48931000,96458000
HOPE FOR HYNDMAN CS | PENNSYLVANIA,2762000,3071000,43000,0,0,0,0,0,0,865000,4200852,0,865000
HOPE LEADERSHIP ACADEMY | MISSOURI,1818000,1748000,0,0,0,0,0,0,0,595000,2900601,0,595000
HOPE LEARNING ACADEMY OF TOLEDO | OHIO,1544000,1507000,0,0,0,0,0,0,0,92000,3901520,0,92000
HOPE OF DETROIT ACADEMY | MICHIGAN,14079000,12299000,445000,0,0,0,715000,0,0,3239000,2600243,0,3239000
HOPE PUBLIC SCHOOLS | MAINE,1184000,3819000,8000,0,0,0,0,0,0,0,2306610,0,0
HOPE SCHOOL DISTRICT | ARKANSAS,33804000,31795000,2070000,20685000,20070000,615000,0,0,2637000,6110000,0507840,20685000,29432000
HOPE TOWNSHIP SCHOOL DISTRICT | NEW JERSEY,5654000,5722000,95000,0,0,0,0,0,0,1909000,3407470,0,1909000
HOPE-PAGE 85 | NORTH DAKOTA,4979000,4266000,228000,0,0,0,0,0,2064000,1744000,3800404,0,3808000
HOPEDALE | MASSACHUSETTS,21986000,21020000,287000,169000,179000,0,10000,0,0,0,2506300,169000,169000
HOPEVALE UNION FREE SCHOOL DISTRICT AT HAMBURG | NEW YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3615420,NA,0
HOPEWELL AREA SD | PENNSYLVANIA,45700000,41924000,1043000,20210000,22609000,723000,3122000,0,2157000,8758000,4212030,20210000,31125000
HOPEWELL CITY PUBLIC SCHOOLS | VIRGINIA,64184000,63291000,1989000,12822000,14847000,0,2025000,0,0,0,5101980,12822000,12822000
HOPEWELL TOWNSHIP SCHOOL DISTRICT | NEW JERSEY,11518000,10874000,277000,0,0,0,0,0,0,2759000,3407500,0,2759000
HOPEWELL VALLEY REGIONAL SCHOOL DISTRICT | NEW JERSEY,113005000,109939000,3407000,0,0,0,0,2000,830000,17643000,3407530,0,18475000
HOPEWELL-LOUDON LOCAL | OHIO,12313000,11424000,244000,11698000,12079000,0,381000,155000,6185000,3092000,3904970,11698000,21130000
HOPKINS COUNTY | KENTUCKY,92266000,89744000,9090000,21145000,24836000,0,3691000,0,0,36931000,2102860,21145000,58076000
HOPKINS PUBLIC SCHOOL DISTRICT | MINNESOTA,154227000,139909000,14296000,186927000,199229000,0,12302000,13059000,0,42709000,2714260,186927000,242695000
HOPKINS PUBLIC SCHOOLS | MICHIGAN,23252000,20665000,1152000,22265000,22474000,1490000,4220000,122000,510000,2057000,2618570,22265000,24954000
HOPKINTON | MASSACHUSETTS,75074000,82968000,4642000,34882000,37208000,0,2326000,0,0,0,2506330,34882000,34882000
HOPKINTON SCHOOL DISTRICT | NEW HAMPSHIRE,22104000,24459000,3545000,8493000,4468000,4169000,143000,0,492000,3213000,3303900,8493000,12198000
HOQUIAM SCHOOL DISTRICT | WASHINGTON,30144000,31692000,2942000,3540000,4610000,0,1070000,1070000,643000,6742000,5303660,3540000,11995000
HORACE PUBLIC SCHOOL | NEBRASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3104980,NA,0
HORATIO SCHOOL DISTRICT | ARKANSAS,11036000,9868000,527000,6462000,5772000,690000,0,0,573000,1383000,0507860,6462000,8418000
HORICON ELEMENTARY | CALIFORNIA,2568000,2374000,133000,0,320000,0,320000,0,0,1004000,0617580,0,1004000
HORICON SCHOOL DISTRICT | WISCONSIN,16659000,15749000,2725000,23900000,24825000,0,925000,652000,506000,2384000,5506570,23900000,27442000
HORIZON ACADEMY WEST | NEW MEXICO,5372000,5002000,743000,0,0,0,0,0,182000,1014000,3500107,0,1196000
HORIZON CHARTER DISTRICT | CALIFORNIA,19900000,23006000,0,0,0,0,0,0,0,6540000,0601730,0,6540000
HORIZON COMMUNITY LEARNING CENTER INC. (79264) | ARIZONA,9380000,7648000,584000,0,0,0,0,825000,1091000,2152000,0400225,0,4068000
HORIZON COMMUNITY LEARNING CENTER INC. (92620) | ARIZONA,8771000,7727000,584000,0,0,0,0,825000,1091000,2152000,0400921,0,4068000
HORIZON MONTESSORI PUBLIC SCHOOLS | TEXAS,17529000,14879000,0,0,0,0,0,0,0,8568000,4800065,0,8568000
HORIZON SCIENCE ACAD CLEVELAND | OHIO,5902000,4892000,269000,0,0,0,0,0,0,1009000,3900040,0,1009000
HORIZON SCIENCE ACAD-BELMONT | ILLINOIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1701412,NA,0
HORIZON SCIENCE ACAD-MCKINLEY PK | ILLINOIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1701410,NA,0
HORIZON SCIENCE ACADEMY CLEVELAND ELEMENTARY SCHOOL | OHIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3901353,NA,0
HORIZON SCIENCE ACADEMY COLUMBUS | OHIO,8058000,7110000,473000,0,0,0,0,0,0,867000,3900042,0,867000
HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE SCHOOL | OHIO,7546000,6236000,149000,0,0,0,0,0,0,1115000,3901322,0,1115000
HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN | OHIO,3271000,3002000,110000,0,0,0,0,0,0,219000,3901383,0,219000
HORIZON SCIENCE ACADEMY DAYTON HIGH SCHOOL | OHIO,5807000,4127000,28000,0,0,0,0,0,0,1709000,3901366,0,1709000
HORIZON SCIENCE ACADEMY DENISON ELEMENTARY SCHOOL | OHIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3900454,NA,0
HORIZON SCIENCE ACADEMY ELEMENTARY SCHOOL | OHIO,7988000,6498000,139000,0,0,0,0,0,0,1289000,3901353,0,1289000
HORIZON SCIENCE ACADEMY LORAIN | OHIO,12506000,10011000,746000,0,0,0,0,0,0,2499000,3901365,0,2499000
HORIZON SCIENCE ACADEMY PRIMARY | OHIO,7371000,5338000,173000,0,0,0,0,0,0,2025000,3901606,0,2025000
HORIZON SCIENCE ACADEMY TOLEDO | OHIO,8234000,8100000,892000,0,0,0,0,0,0,287000,3900510,0,287000
HORIZON SCIENCE ACADEMY TOLEDO DOWNTOWN | OHIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3901383,NA,0
HORIZON SCIENCE ACADEMY TWIN CITIES | MINNESOTA,1548000,2015000,335000,1100000,1100000,0,0,0,0,176000,2700450,1100000,1276000
HORIZON SCIENCE ACADEMY YOUNGSTOWN | OHIO,6908000,5144000,456000,0,0,0,0,0,0,1751000,3901389,0,1751000
HORIZON SCIENCE ACADEMY-CINCINNATI | OHIO,2732000,2835000,38000,0,0,0,0,0,0,0,3900441,0,0
HORIZON SCIENCE ACADEMY-CLEVELAND MIDDLE SCHOOL | OHIO,4738000,4043000,322000,0,0,0,0,0,0,565000,3900470,0,565000
HORIZON SCIENCE ACADEMY-DAYTON | OHIO,2944000,2878000,134000,0,0,0,0,0,0,66000,3900444,0,66000
HORIZON SCIENCE ACADEMY-DENISON MIDDLE SCHOOL | OHIO,4663000,3381000,145000,0,0,0,0,0,0,1282000,3900454,0,1282000
HORIZON SCIENCE ACADEMY-SPRINGFIELD | OHIO,5999000,4938000,191000,0,0,0,0,0,0,1062000,3900451,0,1062000
HORNBROOK ELEMENTARY | CALIFORNIA,1372000,1042000,21000,0,0,0,0,0,0,2224000,0617620,0,2224000
HORNELL CITY SCHOOL DISTRICT | NEW YORK,51993000,43858000,2912000,25759000,30599000,0,4840000,1226000,359000,22533000,3614820,25759000,49877000
HORRY 01 | SOUTH CAROLINA,789425000,676373000,53579000,278713000,292182000,33235000,46704000,57653000,98272000,205489000,4502490,278713000,640127000
HORSE CREEK 32 | NORTH DAKOTA,251000,242000,12000,0,0,0,0,0,0,1191000,3809810,0,1191000
HORSEHEADS CENTRAL SCHOOL DISTRICT | NEW YORK,93285000,100890000,20536000,4710000,6940000,0,2230000,4941000,25466000,11686000,3614850,4710000,46803000
HORSESHOE BEND SCHOOL DISTRICT | IDAHO,3775000,3544000,119000,530000,650000,0,120000,338000,220000,855000,1601500,530000,1943000
HORTONVILLE AREA SCHOOL DISTRICT | WISCONSIN,63579000,72103000,19061000,54168000,60465000,0,6297000,1564000,26274000,16080000,5506600,54168000,98086000
HOT SPRINGS COUNTY SCHOOL DISTRICT #1 | WYOMING,15663000,15688000,1374000,0,0,0,0,13000,0,7605000,5603310,0,7618000
HOT SPRINGS ELEM | MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3014640,NA,0
HOT SPRINGS ELEMENTARY | CALIFORNIA,400000,301000,0,0,0,0,0,0,0,630000,0617640,0,630000
HOT SPRINGS K-12 | MONTANA,4132000,4077000,446000,191000,282000,0,91000,80000,39000,368000,3014640,191000,678000
HOT SPRINGS SCHOOL DISTRICT | ARKANSAS,65173000,59755000,2081000,77276000,77486000,68900000,69110000,0,12130000,6552000,0507890,77276000,95958000
HOT SPRINGS SCHOOL DISTRICT 23-2 | SOUTH DAKOTA,10190000,9249000,1275000,6120000,6120000,193000,193000,1753000,0,8973000,4634480,6120000,16846000
HOUGHTON LAKE COMMUNITY SCHOOLS | MICHIGAN,17490000,15112000,239000,0,3541000,0,450000,418000,0,3008000,2618600,0,3426000
HOUGHTON-PORTAGE TOWNSHIP SCHOOL DISTRICT | MICHIGAN,19858000,17782000,688000,25240000,26845000,715000,2320000,124000,1188000,2900000,2628890,25240000,29452000
HOULTON-REGION 2 | MAINE,2456000,2304000,133000,0,0,0,0,0,0,1270000,2312260,0,1270000
HOUSE | NEW MEXICO,2897000,2441000,183000,484000,550000,0,66000,24000,425000,659000,3501320,484000,1592000
HOUSTON SCHOOL DIST | MISSISSIPPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2803870,NA,0
HOUSTON CLASSICAL CHARTER SCHOOL | TEXAS,2638000,2724000,0,0,0,0,0,0,0,166000,4801469,0,166000
HOUSTON COUNTY | ALABAMA,80650000,77459000,5286000,35054000,37006000,0,1952000,5563000,16658000,25305000,0101770,35054000,82580000
HOUSTON COUNTY | GEORGIA,458620000,445592000,44706000,46325000,12505000,40000000,6180000,7381000,71268000,109189000,1302880,46325000,234163000
HOUSTON COUNTY | TENNESSEE,15415000,13995000,306000,45256000,4396000,0,520000,0,0,0,4701920,45256000,45256000
HOUSTON GATEWAY ACADEMY INC | TEXAS,30438000,16805000,0,0,0,0,0,0,0,41768000,4800118,0,41768000
HOUSTON HEIGHTS HIGH SCHOOL | TEXAS,2508000,2053000,0,0,0,0,0,0,0,1870000,4800115,0,1870000
