district_key,total_rev_2122,total_exp_2122,cap_outlay_2122,debt_out_end_2122,debt_out_start_2122,debt_issued_2122,debt_retired_2122,debt_service_funds_2122,bond_funds_2122,other_funds_2122,GeoId,debt_district_only,debt_expanded
ACCELERATED CHARTER ELEMENTARY DISTRICT | CALIFORNIA,7958000,7664000,0,0,0,0,0,0,0,8494000,0601471,0,8494000
ACCELERATED DISTRICT | CALIFORNIA,11757000,13573000,0,0,0,0,0,0,0,10270000,0601732,0,10270000
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS (6364) | ARIZONA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0400129,NA,0
ACCELERATED INTERMEDIATE ACADEMY | TEXAS,2845000,1860000,0,0,0,0,0,0,0,12418000,4800192,0,12418000
ACCELERATED LEARNING CENTER INC. (4297) | ARIZONA,1822000,1443000,0,0,0,0,0,0,0,0,0400121,0,0
ACCEPT EDUCATION COLLABORATIVE | MASSACHUSETTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500578,NA,0
ACCLAIM CHARTER SCHOOL (4325) | ARIZONA,4386000,3404000,307000,0,0,0,0,0,1010000,262000,0400122,0,1272000
ACCOMACK COUNTY PUBLIC SCHOOLS | VIRGINIA,73179000,73276000,8012000,12414000,12414000,0,0,0,0,0,5100060,12414000,12414000
ACE AMANDLA CHARTER SCHOOL | ILLINOIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1701426,NA,0
ACE CHARTER HIGH DISTRICT | CALIFORNIA,8422000,7211000,1157000,0,0,0,0,0,0,0,0601561,0,0
ACE EMPOWER ACADEMY DISTRICT | CALIFORNIA,4277000,4325000,0,0,0,0,0,0,0,0,0602217,0,0
ACE ESPERANZA MIDDLE DISTRICT | CALIFORNIA,4018000,4085000,68000,0,0,0,0,0,0,0,0601852,0,0
ACE INSPIRE ACADEMY DISTRICT | CALIFORNIA,3897000,3642000,42000,0,0,0,0,0,0,0,0602138,0,0
ACE PREPARATORY ACADEMY | INDIANA,2352000,2041000,196000,0,0,0,0,0,0,121000,1800172,0,121000
ACES TECHNICAL CHARTER SCHOOL | NEW MEXICO,1286000,1345000,193000,0,0,0,0,0,0,25000,3500185,0,25000
ACHIEVE ACADEMY DISTRICT | CALIFORNIA,13609000,10639000,12000,0,0,0,0,0,0,0,0602165,0,0
ACHIEVE CHARTER ACADEMY | MICHIGAN,7749000,7691000,0,0,0,0,0,0,0,60000,2600963,0,60000
ACHIEVE CHARTER HIGH DISTRICT | CALIFORNIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0601785,NA,0
ACHIEVE CHARTER SCHOOL OF CHICO DISTRICT | CALIFORNIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0602570,NA,0
ACHIEVE CHARTER SCHOOL OF PARADISE INC. DISTRICT | CALIFORNIA,1415000,1656000,0,0,0,0,0,0,0,0,0602133,0,0
ACHIEVE COMMUNITY CHARTER SCHOOL | NEW JERSEY,10636000,9256000,17000,0,0,0,0,0,0,2258000,3400015,0,2258000
ACHIEVE LANGUAGE ACADEMY | MINNESOTA,6911000,7918000,701000,0,19000,0,19000,0,0,3861000,2700118,0,3861000
ACHIEVEMENT ACADEMY CHARTER SCHOOL | NEW YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3400786,NA,0
ACHIEVEMENT CHARTER ACADEMY | NORTH CAROLINA,1927000,1962000,12000,0,0,0,0,0,0,103000,3700459,0,103000
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL | NEW YORK,0,14157000,0,0,0,0,0,0,0,0,3601028,0,0
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL | NEW YORK,0,17975000,0,0,0,0,0,0,0,0,3601109,0,0
ACHIEVEMENT FIRST BRIDGEPORT ACADEMY DISTRICT | CONNECTICUT,16044000,16613000,264000,0,0,0,38000,0,0,0,0900208,0,0
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL | NEW YORK,0,21430000,0,0,0,0,0,0,0,0,3600969,0,0
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL | NEW YORK,0,24541000,0,0,0,0,0,0,0,0,3600147,0,0
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL | NEW YORK,0,21797000,0,0,0,0,0,0,0,0,3600149,0,0
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL | NEW YORK,0,16095000,0,0,0,0,0,0,0,0,3600170,0,0
ACHIEVEMENT FIRST HARTFORD ACADEMY DISTRICT | CONNECTICUT,16617000,16950000,286000,0,0,0,0,0,0,0,0900212,0,0
ACHIEVEMENT FIRST LEGACY CHARTER SCHOOL | NEW YORK,0,4037000,0,0,0,0,0,0,0,0,3601230,0,0
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL | NEW YORK,0,13200000,0,0,0,0,0,0,0,0,3601112,0,0
ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL | NEW YORK,0,15082000,0,0,0,0,0,0,0,0,3601124,0,0
ACHIEVEMENT FIRST RHODE ISLAND | RHODE ISLAND,43471000,40911000,2571000,0,0,0,0,0,0,0,4400021,0,0
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL | NEW YORK,0,4559000,0,0,0,0,0,0,0,0,3601143,0,0
ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL | NEW YORK,0,19776000,0,0,0,0,0,0,0,0,3600166,0,0
